,Name,Location,Specialty,Picture
0,"Frank Yoo, MD",['4150 Regents Park Row'],['Neurological surgery'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
1,"Daniel Burgess, DO","['477 N El Camino Real', '4150 Regents Park Row']",['General surgery'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
2,"Matthew Schultzel, DO","['4150 Regents Park Row', '477 N El Camino Real']","['Colon and rectal surgery', 'General surgery']",https://images.ctfassets.net/pxcfulgsd9e2/35gYMnd3UgUnlyo7Nxov7a/84789b243114d38e4685a3a5c3dfe61e/schultzel_matthew_88662_2019.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
3,"Naing Kyaw, MD","['4225 Executive Square', '3300 Vista Way']",['Nephrology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
4,"Mona Mofid, MD","['8929 University Center Lane', '1001 B Ave.']",['Dermatology'],https://images.ctfassets.net/pxcfulgsd9e2/22dz7JJGszDUasNABHWl7M/9f5d0dd909b70b1fff5da039245ebdbc/mofid_mona_72300_2015.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
5,"Moneer Jaibaji, MD","['8929 University Center Ln', '1001 B Ave']",['Plastic surgery'],https://images.ctfassets.net/pxcfulgsd9e2/6qrdOjKrgHrgzhdaWIJS0S/bbff1ee21dc1a41108e2311476c50a21/jaibaji_moneer_72340_2013.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
6,"Damion Valletta, DO","['7625 Mesa College Dr', '8929 University Center Ln']","['Orthopedic surgery', 'Sports medicine']",https://images.ctfassets.net/pxcfulgsd9e2/9uyeuBc5vLkHSsfyiDsBL/4482baac5d140239230e207791b70249/valletta_damion_71774_2009.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
7,"Michael Bogard, DO",['8929 University Center Ln'],['Orthopedic surgery'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
8,"George Mueller, MD","['7910 Frost St.', '4510 Executive Drive']","['Bariatric surgery', 'General surgery']",https://images.ctfassets.net/pxcfulgsd9e2/5uHx08szWFtcaLUg0vVg0w/7f12966bee5896007bb238b73a408a38/mueller_george_51445_2013.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
9,"Larry Pollack, MD","['7910 Frost St.', '4510 Executive Drive']",['Plastic surgery'],https://images.ctfassets.net/pxcfulgsd9e2/6W5vY0P4U7EushkqsSJ5PY/096cd00fd8bee6b62088b82052f9bb49/Pollack_Larry_51448_2012.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
10,"Tina Ziainia, MD",['4570 Executive Drive'],['OBGYN'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
11,"Trenton Moyer, MD",['3252 Holiday Ct'],"['Addiction psychiatry', 'Psychiatry']",https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
12,"Joseph Zeidan, DMD",['8950 Villa La Jolla Drive'],['Oral and maxillofacial surgery'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
13,"Edna Flores, MD","['16918 Dove Canyon Rd', '326 Santa Fe Dr', '9850 Genesee Avenue']","['Hematology/oncology', 'Oncology']",https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
